Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0402_1005Metric,167.150000,-54.700000,0.000000,top
C1,10uF,C_0402_1005Metric,125.650000,-54.700000,0.000000,top
C1,10uF,C_0402_1005Metric,167.150000,-81.200000,0.000000,top
C1,10uF,C_0402_1005Metric,125.650000,-81.200000,0.000000,top
C1,10uF,C_0402_1005Metric,167.150000,-107.700000,0.000000,top
C1,10uF,C_0402_1005Metric,125.650000,-107.700000,0.000000,top
C2,100nF,C_0402_1005Metric,117.935000,-103.020000,180.000000,top
C2,100nF,C_0402_1005Metric,159.435000,-50.020000,180.000000,top
C2,100nF,C_0402_1005Metric,117.935000,-50.020000,180.000000,top
C2,100nF,C_0402_1005Metric,159.435000,-76.520000,180.000000,top
C2,100nF,C_0402_1005Metric,117.935000,-76.520000,180.000000,top
C2,100nF,C_0402_1005Metric,159.435000,-103.020000,180.000000,top
C3,100nF,C_0402_1005Metric,125.650000,-53.650000,180.000000,top
C3,100nF,C_0402_1005Metric,167.150000,-80.150000,180.000000,top
C3,100nF,C_0402_1005Metric,125.650000,-106.650000,180.000000,top
C3,100nF,C_0402_1005Metric,167.150000,-53.650000,180.000000,top
C3,100nF,C_0402_1005Metric,167.150000,-106.650000,180.000000,top
C3,100nF,C_0402_1005Metric,125.650000,-80.150000,180.000000,top
C4,100nF,C_0402_1005Metric,158.630000,-54.410000,270.000000,top
C4,100nF,C_0402_1005Metric,117.130000,-54.410000,270.000000,top
C4,100nF,C_0402_1005Metric,158.630000,-80.910000,270.000000,top
C4,100nF,C_0402_1005Metric,117.130000,-80.910000,270.000000,top
C4,100nF,C_0402_1005Metric,158.630000,-107.410000,270.000000,top
C4,100nF,C_0402_1005Metric,117.130000,-107.410000,270.000000,top
D1,LED,LED_0402_1005Metric,100.000000,-100.000000,45.000000,top
D1,LED,LED_0402_1005Metric,141.500000,-100.000000,45.000000,top
D1,LED,LED_0402_1005Metric,100.000000,-73.500000,45.000000,top
D1,LED,LED_0402_1005Metric,141.500000,-73.500000,45.000000,top
D1,LED,LED_0402_1005Metric,141.500000,-47.000000,45.000000,top
D1,LED,LED_0402_1005Metric,100.000000,-47.000000,45.000000,top
D2,LED,LED_0402_1005Metric,100.000000,-101.350000,45.000000,top
D2,LED,LED_0402_1005Metric,141.500000,-101.350000,45.000000,top
D2,LED,LED_0402_1005Metric,100.000000,-74.850000,45.000000,top
D2,LED,LED_0402_1005Metric,141.500000,-74.850000,45.000000,top
D2,LED,LED_0402_1005Metric,100.000000,-48.350000,45.000000,top
D2,LED,LED_0402_1005Metric,141.500000,-48.350000,45.000000,top
D3,LED,LED_0402_1005Metric,100.000000,-76.200000,45.000000,top
D3,LED,LED_0402_1005Metric,141.500000,-49.700000,45.000000,top
D3,LED,LED_0402_1005Metric,100.000000,-49.700000,45.000000,top
D3,LED,LED_0402_1005Metric,141.500000,-76.200000,45.000000,top
D3,LED,LED_0402_1005Metric,141.500000,-102.700000,45.000000,top
D3,LED,LED_0402_1005Metric,100.000000,-102.700000,45.000000,top
D4,LED,LED_0402_1005Metric,141.500000,-104.050000,45.000000,top
D4,LED,LED_0402_1005Metric,100.000000,-77.550000,45.000000,top
D4,LED,LED_0402_1005Metric,141.500000,-77.550000,45.000000,top
D4,LED,LED_0402_1005Metric,100.000000,-51.050000,45.000000,top
D4,LED,LED_0402_1005Metric,141.500000,-51.050000,45.000000,top
D4,LED,LED_0402_1005Metric,100.000000,-104.050000,45.000000,top
D5,LED,LED_0402_1005Metric,100.000000,-52.400000,45.000000,top
D5,LED,LED_0402_1005Metric,141.500000,-52.400000,45.000000,top
D5,LED,LED_0402_1005Metric,141.500000,-78.900000,45.000000,top
D5,LED,LED_0402_1005Metric,100.000000,-78.900000,45.000000,top
D5,LED,LED_0402_1005Metric,141.500000,-105.400000,45.000000,top
D5,LED,LED_0402_1005Metric,100.000000,-105.400000,45.000000,top
D6,LED,LED_0402_1005Metric,141.500000,-53.750000,45.000000,top
D6,LED,LED_0402_1005Metric,100.000000,-53.750000,45.000000,top
D6,LED,LED_0402_1005Metric,141.500000,-80.250000,45.000000,top
D6,LED,LED_0402_1005Metric,100.000000,-80.250000,45.000000,top
D6,LED,LED_0402_1005Metric,141.500000,-106.750000,45.000000,top
D6,LED,LED_0402_1005Metric,100.000000,-106.750000,45.000000,top
D7,LED,LED_0402_1005Metric,141.500000,-55.100000,45.000000,top
D7,LED,LED_0402_1005Metric,100.000000,-55.100000,45.000000,top
D7,LED,LED_0402_1005Metric,141.500000,-81.600000,45.000000,top
D7,LED,LED_0402_1005Metric,100.000000,-81.600000,45.000000,top
D7,LED,LED_0402_1005Metric,141.500000,-108.100000,45.000000,top
D7,LED,LED_0402_1005Metric,100.000000,-108.100000,45.000000,top
D8,LED,LED_0402_1005Metric,100.000000,-109.450000,45.000000,top
D8,LED,LED_0402_1005Metric,141.500000,-56.450000,45.000000,top
D8,LED,LED_0402_1005Metric,141.500000,-109.450000,45.000000,top
D8,LED,LED_0402_1005Metric,100.000000,-82.950000,45.000000,top
D8,LED,LED_0402_1005Metric,141.500000,-82.950000,45.000000,top
D8,LED,LED_0402_1005Metric,100.000000,-56.450000,45.000000,top
D9,LED,LED_0402_1005Metric,101.350000,-73.500000,45.000000,top
D9,LED,LED_0402_1005Metric,142.850000,-47.000000,45.000000,top
D9,LED,LED_0402_1005Metric,101.350000,-47.000000,45.000000,top
D9,LED,LED_0402_1005Metric,142.850000,-73.500000,45.000000,top
D9,LED,LED_0402_1005Metric,142.850000,-100.000000,45.000000,top
D9,LED,LED_0402_1005Metric,101.350000,-100.000000,45.000000,top
D10,LED,LED_0402_1005Metric,101.350000,-48.350000,45.000000,top
D10,LED,LED_0402_1005Metric,142.850000,-48.350000,45.000000,top
D10,LED,LED_0402_1005Metric,142.850000,-74.850000,45.000000,top
D10,LED,LED_0402_1005Metric,101.350000,-74.850000,45.000000,top
D10,LED,LED_0402_1005Metric,142.850000,-101.350000,45.000000,top
D10,LED,LED_0402_1005Metric,101.350000,-101.350000,45.000000,top
D11,LED,LED_0402_1005Metric,142.850000,-102.700000,45.000000,top
D11,LED,LED_0402_1005Metric,101.350000,-76.200000,45.000000,top
D11,LED,LED_0402_1005Metric,142.850000,-76.200000,45.000000,top
D11,LED,LED_0402_1005Metric,101.350000,-49.700000,45.000000,top
D11,LED,LED_0402_1005Metric,142.850000,-49.700000,45.000000,top
D11,LED,LED_0402_1005Metric,101.350000,-102.700000,45.000000,top
D12,LED,LED_0402_1005Metric,101.350000,-77.550000,45.000000,top
D12,LED,LED_0402_1005Metric,142.850000,-77.550000,45.000000,top
D12,LED,LED_0402_1005Metric,142.850000,-104.050000,45.000000,top
D12,LED,LED_0402_1005Metric,101.350000,-51.050000,45.000000,top
D12,LED,LED_0402_1005Metric,101.350000,-104.050000,45.000000,top
D12,LED,LED_0402_1005Metric,142.850000,-51.050000,45.000000,top
D13,LED,LED_0402_1005Metric,142.850000,-105.400000,45.000000,top
D13,LED,LED_0402_1005Metric,101.350000,-78.900000,45.000000,top
D13,LED,LED_0402_1005Metric,142.850000,-78.900000,45.000000,top
D13,LED,LED_0402_1005Metric,101.350000,-52.400000,45.000000,top
D13,LED,LED_0402_1005Metric,101.350000,-105.400000,45.000000,top
D13,LED,LED_0402_1005Metric,142.850000,-52.400000,45.000000,top
D14,LED,LED_0402_1005Metric,101.350000,-80.250000,45.000000,top
D14,LED,LED_0402_1005Metric,142.850000,-106.750000,45.000000,top
D14,LED,LED_0402_1005Metric,142.850000,-53.750000,45.000000,top
D14,LED,LED_0402_1005Metric,101.350000,-53.750000,45.000000,top
D14,LED,LED_0402_1005Metric,142.850000,-80.250000,45.000000,top
D14,LED,LED_0402_1005Metric,101.350000,-106.750000,45.000000,top
D15,LED,LED_0402_1005Metric,101.350000,-108.100000,45.000000,top
D15,LED,LED_0402_1005Metric,142.850000,-55.100000,45.000000,top
D15,LED,LED_0402_1005Metric,101.350000,-55.100000,45.000000,top
D15,LED,LED_0402_1005Metric,142.850000,-81.600000,45.000000,top
D15,LED,LED_0402_1005Metric,101.350000,-81.600000,45.000000,top
D15,LED,LED_0402_1005Metric,142.850000,-108.100000,45.000000,top
D16,LED,LED_0402_1005Metric,142.850000,-109.450000,45.000000,top
D16,LED,LED_0402_1005Metric,142.850000,-56.450000,45.000000,top
D16,LED,LED_0402_1005Metric,142.850000,-82.950000,45.000000,top
D16,LED,LED_0402_1005Metric,101.350000,-56.450000,45.000000,top
D16,LED,LED_0402_1005Metric,101.350000,-109.450000,45.000000,top
D16,LED,LED_0402_1005Metric,101.350000,-82.950000,45.000000,top
D17,LED,LED_0402_1005Metric,102.700000,-73.500000,45.000000,top
D17,LED,LED_0402_1005Metric,144.200000,-47.000000,45.000000,top
D17,LED,LED_0402_1005Metric,102.700000,-47.000000,45.000000,top
D17,LED,LED_0402_1005Metric,144.200000,-73.500000,45.000000,top
D17,LED,LED_0402_1005Metric,144.200000,-100.000000,45.000000,top
D17,LED,LED_0402_1005Metric,102.700000,-100.000000,45.000000,top
D18,LED,LED_0402_1005Metric,102.700000,-74.850000,45.000000,top
D18,LED,LED_0402_1005Metric,102.700000,-101.350000,45.000000,top
D18,LED,LED_0402_1005Metric,144.200000,-48.350000,45.000000,top
D18,LED,LED_0402_1005Metric,102.700000,-48.350000,45.000000,top
D18,LED,LED_0402_1005Metric,144.200000,-74.850000,45.000000,top
D18,LED,LED_0402_1005Metric,144.200000,-101.350000,45.000000,top
D19,LED,LED_0402_1005Metric,102.700000,-102.700000,45.000000,top
D19,LED,LED_0402_1005Metric,144.200000,-49.700000,45.000000,top
D19,LED,LED_0402_1005Metric,102.700000,-49.700000,45.000000,top
D19,LED,LED_0402_1005Metric,144.200000,-76.200000,45.000000,top
D19,LED,LED_0402_1005Metric,102.700000,-76.200000,45.000000,top
D19,LED,LED_0402_1005Metric,144.200000,-102.700000,45.000000,top
D20,LED,LED_0402_1005Metric,144.200000,-104.050000,45.000000,top
D20,LED,LED_0402_1005Metric,102.700000,-77.550000,45.000000,top
D20,LED,LED_0402_1005Metric,102.700000,-104.050000,45.000000,top
D20,LED,LED_0402_1005Metric,144.200000,-51.050000,45.000000,top
D20,LED,LED_0402_1005Metric,102.700000,-51.050000,45.000000,top
D20,LED,LED_0402_1005Metric,144.200000,-77.550000,45.000000,top
D21,LED,LED_0402_1005Metric,102.700000,-78.900000,45.000000,top
D21,LED,LED_0402_1005Metric,144.200000,-105.400000,45.000000,top
D21,LED,LED_0402_1005Metric,102.700000,-105.400000,45.000000,top
